ADMIN,geo_id,SOV_A3,Battery electric vehicels (number):number,Plug-in hybrid electric vehicles (number):number,Total:number
Germany,260,DEU,60192,43370,103562
Norway,385,NOR,60008,19226,79234
United Kingdom,200,GB1,37724,35193,72917
Netherlands,210,NL1,58767,4561,63328
France,220,FR1,43678,18359,62037
Sweden,380,SWE,15570,24810,40380
Spain,230,ESP,10209,7451,17660
Belgium,211,BEL,8630,8937,17567
Italy,325,ITA,10643,6110,16753
Portugal,235,PRT,6880,5773,12653
Austria,305,AUT,9077,2156,11233
Denmark,390,DN1,5478,3754,9232
Finland,375,FI1,1887,5864,7751
Ireland,205,IRL,3451,1362,4813
Hungary,310,HUN,1623,748,2371
Poland,290,POL,1443,891,2334
Iceland,999,ISL,913,1204,2117
Romania,360,ROU,1503,400,1903
Luxembourg,212,LUX,962,907,1869
Czechia,316,CZE,660,513,1173
Slovenia,349,SVK,628,167,795
Cyprus,352,CYP,8,581,589
Slovakia,317,SVK,170,399,569
Greece,350,GRC,188,288,476
Bulgaria,355,BGR,293,70,363
Croatia,344,HRV,155,81,236
Lithuania,368,LTU,158,58,216
Estonia,366,EST,77,26,103
Latvia,367,LVA,87,9,96
Switzerland,225,CHE,13197,22513,35710
